Metadata_id,Metadata_condition,Metadata_dose,Metadata_matrix,TrackObjects_Label,Track_Angle,Track_Integrated_Distance_Traveled,Track_DP,Track_Length,Track_Life_Time,Track_One_Cell,Track_MSD,Track_Positive_Sector,Track_Negative_Sector,Track_Neutral_Sector_Up,Track_Neutral_Sector_Down,Track_Sector,Track_Speed_max,Track_Speed,Track_Speed_Y,Track_Speed_X,Track_xFMI,Track_yFMI,Track_Directionality,Track_Distance_Traveled,Track_CI
E6,CP17,50,HEM,234,2.550908302279922,53.795817526846704,1,23,23,TRUE,1.0759338164449126,1,0,0,0,1,32.12138938638722,1.0501947139751304,-0.047507531204449976,0.11041109581464038,0.16976546963984576,-0.06627823249035195,-1.6226736134427269,-0.8547010718748065,0.8342766707535836
E6,CP17,50,HEM,236,1.2697983155197876,27.816223382474018,1,20,20,TRUE,0.19236680209299512,0,0,1,0,3,8.895596783073794,-0.16273452528030383,0.3804910562102337,0.4605634203550689,0.572420151613736,0.6134310724897639,-0.6910972989755438,-0.7520267857088784,-0.799550313090793
E6,CP17,50,HEM,242,2.5614454469221384,53.762462476881055,1,52,52,TRUE,6.434384911696984,1,0,0,0,1,7.644136508927492,-0.6693461230183112,-0.05444720701364376,0.11650960443507445,-0.027714850271169735,0.06099054089267851,-1.275772219939219,-0.7516081266189669,0.8427169864972976
E6,CP17,50,HEM,246,0.6629369022378809,121.31412943999561,1,91,91,TRUE,3.6664856723297907,0,1,0,0,2,7.502941985594442,-0.3062176189327091,-0.03677371518985839,0.4632178841970886,0.5975965693160026,0.03724660308022913,-1.4015133430405045,-0.6007076623937586,-1.5123746264079327
E6,CP17,50,HEM,263,-0.5033263926851328,97.81910929669417,2,51,51,TRUE,13.661489999932929,0,1,0,0,2,12.21124603702748,0.44588597013218717,-0.9568052255766744,1.6808165403464013,1.839048902646739,-1.006389849336698,0.6419865217319429,0.4393122159891568,-1.6396481542234702
E6,CP17,50,HEM,267,-1.9994368930778352,198.7820242160545,2,70,70,TRUE,12.945505328719829,0,0,0,1,4,27.2592173068664,1.5886837265742968,-2.438065641037579,-0.7162118264593758,-0.4170887194837835,-1.808498718632575,0.7459074108003617,1.9760114150557557,0.2327720837322624
E6,CP17,50,HEM,28,-0.146321356090556,165.66900039765795,2,95,95,TRUE,4.947474758788029,0,1,0,0,2,9.996403678394923,0.20614875064541607,-0.3748398880352805,1.6278742362400354,1.9412935302584056,-0.41122557592031966,0.5028623316236764,1.2677701323502566,-1.8039410148114214
E6,CP17,50,HEM,284,1.5827672150173633,72.17998327241382,1,65,65,TRUE,12.595243815736254,0,0,1,0,3,8.837966750777012,-0.578311711427731,0.11782939742169513,0.28961072709114444,0.32233819648436834,0.3634475105085137,-1.11426179614277,-0.6229916334694351,-0.3524079614141835
E6,CP17,50,HEM,287,-1.669979152664271,52.29327641676629,1,22,22,TRUE,17.53302822823279,0,0,0,1,4,17.198573177471523,1.1056853328172767,-1.0404681713270967,0.2088469558888624,0.2567931137375461,-0.8976573751750165,-0.8318005264712853,-0.6283250093719359,-0.2262145828889048
E6,CP17,50,HEM,291,-3.037139937080925,189.42038181449098,2,80,80,TRUE,3.1919841014687713,1,0,0,0,1,22.36954450690325,0.9914327561467202,-0.2973145823494051,-0.862482481439946,-0.6972651565548661,-0.2808766916093026,-0.38119985796626554,0.6579929130626777,1.0720082087269245
E6,CP17,50,HEM,3,2.9676831609374013,51.65605435859747,1,33,33,TRUE,0.5088352591759928,1,0,0,0,1,8.553784673686737,0.022977496381215816,-0.1348661595585845,0.08092120491321604,0.0490268280095678,-0.12385694661838051,-1.485868034488999,-0.8189650012803339,1.0580421492486682
E6,CP17,50,HEM,305,-2.7509279974399097,107.2640959912261,1,67,67,TRUE,0.8359673507300942,1,0,0,0,1,12.418385237575547,0.03652750379095991,-0.3176059243656386,-0.04917144795731255,-0.11950991614252612,-0.3580777274526581,-1.1892064058627754,-0.5139241320194144,0.9706854918034412
E6,CP17,50,HEM,318,-2.142984570132253,97.10868316772657,1,58,58,TRUE,1.6252194483720284,0,0,0,1,4,9.60696099896102,0.13349672317338163,-0.7278980540577968,-0.05541333209192347,-0.10666965661757787,-0.8505125501521645,-0.7173443674553831,-0.3007370100904071,0.41519617277378823
E6,CP17,50,HEM,321,0.2946104453852293,62.17851665796864,1,27,27,TRUE,8.398273995076998,0,1,0,0,2,51.406970799629455,0.9837133652819272,0.14730543564124407,1.3225010100025794,1.245272939747215,0.10557246026168511,-0.49031140468614565,-0.45219502035747067,-1.756973444149477
E6,CP17,50,HEM,327,-3.0829466745939453,29.646657580859397,1,26,26,TRUE,4.1144249337969825,1,0,0,0,1,7.188890939191952,-0.5065509161381954,-0.19201192322373561,-0.0213988757846243,-0.23572181522358296,-0.20630731766053034,-1.0700287120442034,-0.8018629007812388,1.0774169941636929
E6,CP17,50,HEM,33,-0.1513695061217863,19.134211936635857,1,25,25,TRUE,12.383526682979884,0,1,0,0,2,5.503049013608598,-0.9869097243587686,-0.19963825446866348,0.462774594057124,0.782109246221764,-0.2423919082893295,-1.2278878324490794,-0.8671414070802901,-1.8028557597326413
E6,CP17,50,HEM,339,-3.0693830931229984,93.81763014833639,2,42,42,TRUE,0.7492113428200486,1,0,0,0,1,18.612778028438207,0.8560900364220179,-0.3035362028060761,-1.4654868797900458,-1.3074164983240897,-0.29168958491515073,0.5183432681507874,0.31878272297994015,1.0761314333933665
E6,CP17,50,HEM,34,0.7677755510001598,17.13431750755642,2,20,20,TRUE,0.486785002493003,0,1,0,0,2,4.737510996930105,-0.8576784411802594,0.21578490851949753,0.6857725268223098,1.2560218461286314,0.7238586804604514,-0.0011502465819060895,-0.7583890417134839,-1.412737671585947
E6,CP17,50,HEM,341,-1.5742493629090102,26.657191070918238,2,30,30,TRUE,5.86354506821003,0,0,0,1,4,8.185822407292573,-0.8361612271290801,-0.6648338782219625,0.29135075257938076,0.3249136858359879,-1.2859013370010757,-0.26456757257609664,-0.6969290252721082,-0.36475563696367647
E6,CP17,50,HEM,357,-1.334891396078815,33.08643246036731,1,31,31,TRUE,1.1241145795360687,0,0,0,1,4,8.347654342323967,-0.6091291854275391,-0.24271165168086967,0.3093269357569565,0.3602544201815287,-0.3044293174774225,-1.7063279302636059,-0.9024017994772633,-0.7085826866821184
E6,CP17,50,HEM,36,-3.1214677828816098,102.47726741795981,1,121,121,TRUE,0.39806939798600305,1,0,0,0,1,6.087573688366091,-0.9167999506368614,-0.17373479847318135,0.26127291089874427,0.24963349932461423,-0.1746942371887825,-1.7885823459244452,-0.8725829285513741,1.0796156867486648
E6,CP17,50,HEM,362,-0.7188783614329377,52.33265807343139,1,27,27,TRUE,84.51374715088198,0,1,0,0,2,14.376225875768514,0.5156174439213309,-0.33024677691644133,0.46812677863246377,0.5139839911993827,-0.33552202349722926,-1.5418088054707946,-0.8335854146261338,-1.4607035586233548
E6,CP17,50,HEM,364,-2.0573496176454427,93.36428263104663,1,27,27,TRUE,0.6235346920009991,0,0,0,1,4,62.437102491142326,2.466360077213142,-1.5565338581031967,-0.42053713597946685,-0.09430962438844857,-0.9744885543896699,-0.56863959876238,-0.24855811441929246,0.30807843597153084
E6,CP17,50,HEM,366,2.288924626616179,60.7988832616787,2,24,24,TRUE,4.7297921480420015,0,0,1,0,3,34.42065801293341,1.2951473759055696,1.4120703106302923,-1.0574761849193226,-0.758949193334725,1.074253688366577,0.5370424473492895,-0.11754781733871622,0.5840876195640763
E6,CP17,50,HEM,374,0.038750611345058576,19.711299561670128,1,22,22,TRUE,0.41380277136503124,0,1,0,0,2,6.84081259364004,-0.8121563231169815,-0.15731808335387648,0.6894042208344935,1.2278780175495847,-0.13816914460823668,-0.5759884119867703,-0.7939131609746242,-1.8183437431586444
E6,CP17,50,HEM,38,-2.7031915287017267,20.973368951091658,1,20,20,TRUE,0.6749046158529836,1,0,0,0,1,6.230560935151639,-0.6079172586017495,-0.23906916516796195,0.15576485371675874,0.06404599227647803,-0.29744878730486757,-1.4735394390401126,-0.8887429464408431,0.9428161094677009
E6,CP17,50,HEM,4,-0.7716647680895112,61.736668198197655,1,121,121,TRUE,0.4812901736839631,0,1,0,0,2,3.865056356768924,-1.3364630440796792,-0.20568816622050176,0.32568670449451753,0.4639902493314723,-0.3049408570369685,-1.6267066387255664,-0.8436571218168242,-1.4088139380899523
E6,CP17,50,HEM,41,1.8007500472000904,16.90905936784678,1,20,20,TRUE,1.4834561642440107,0,0,1,0,3,8.347707755317636,-0.8723332954292315,0.0672269596632119,0.23815566381157732,0.19752736877409516,0.38857824632596233,-1.0548697319977567,-0.8593004137236757,-0.03933439461252779
E6,CP17,50,HEM,46,-0.0780183285739792,58.31112746178415,1,53,53,TRUE,0.6756673402729831,0,1,0,0,2,8.84575103500743,-0.5862776561942377,-0.18631381834315391,0.45806589138803405,0.6421343182677024,-0.19764755260240677,-1.4410443728603595,-0.7890648561718462,-1.8150222935018785
E6,CP17,50,HEM,48,0.7757932393463851,64.70753579372297,1,76,76,TRUE,0.45850161212201845,0,1,0,0,2,9.210424095051712,-0.9059347110307041,-0.1180976529874998,0.3476564079755932,0.4636085864519993,-0.04053814492922926,-1.626369881023519,-0.8389558849233687,-1.4046316316942715
E6,CP17,50,HEM,49,1.2675776249751987,33.58689017939528,1,121,121,TRUE,0,0,0,1,0,3,2.1498675419255284,-1.6264298867217206,-0.15247123362197892,0.299293251745624,0.37657070692035394,-0.019938986971273588,-1.6688601335851598,-0.8948908126306703,-0.8026237857971135
E6,CP17,50,HEM,5,-2.589576838268023,196.51379528261063,1,46,46,TRUE,8.378336496577797,1,0,0,0,1,60.287973277952275,3.425624452110602,-0.6708185245517165,-0.4949993227884404,-0.05543244257282228,-0.410185496820303,-1.2388319435127046,-0.21429796059608122,0.8645884307004728
E6,CP17,50,HEM,50,-2.910932479224374,65.62799925278063,1,121,121,TRUE,0.1393129882000652,1,0,0,0,1,4.827458399444152,-1.2963789986986223,-0.2047767613294691,0.16140145104179549,-0.1835833731564165,-0.29365694540042786,-1.1279085909412025,-0.6566159648225524,1.041515698700644
E6,CP17,50,HEM,51,-2.455970362008711,78.99403574938948,1,69,69,TRUE,1.3232130686769565,1,0,0,0,1,7.960666230676405,-0.5364513876028976,-0.4869527489652233,-0.08112545548466728,-0.35693911600864875,-0.7351229691071709,-0.5965744612892954,-0.3670087113649642,0.7523201965636155
E6,CP17,50,HEM,53,-2.677317414148168,163.62111524672713,2,96,96,TRUE,16.28189427622517,1,0,0,0,1,15.716984793514595,0.1565703391952598,-0.7341542290467634,-0.7994269422717414,-1.0216632050488266,-0.850726589486918,0.32602494336667104,1.0804724755982433,0.9264562856957704
E6,CP17,50,HEM,59,1.1837850429244128,216.22575154931562,2,120,120,TRUE,1.2667045652419069,0,0,1,0,3,14.68343315122359,0.27362383296367115,1.3748148204349127,0.9081327756396961,1.0495088233671204,1.598916585247448,0.9161777872840259,2.435414275452666,-0.9168996066330354
E6,CP17,50,HEM,60,2.846712621883467,269.5688349866645,2,116,116,TRUE,1.397721018329054,1,0,0,0,1,26.61612066664044,0.9251164234837492,0.24721853117527068,-1.0562299959058887,-0.8967229370168701,0.1998699777054918,-0.013115997119709047,1.8824125421450062,1.0173371308332875
E6,CP17,50,HEM,61,2.335779582461846,162.24836295277447,2,121,121,TRUE,9.204046481117025,0,0,1,0,3,9.618466321978184,-0.30110643284394956,0.5884374254473311,-0.41979433403986827,-0.7936732045409629,0.9984684062326198,0.48927570710126084,1.2100177165473949,0.6341716474284564
E6,CP17,50,HEM,62,-1.8348912244929876,173.4208114920653,1,117,117,TRUE,9.79727672204903,0,0,0,1,4,21.10286301301775,-0.12442122214037007,-0.20466430847312564,0.28467873407093114,0.3168889589109288,-0.21704453273263624,-1.8383735753556971,-0.8744636350789979,0.008654329501004655
E6,CP17,50,HEM,63,1.924111152295291,83.35771995148508,3,48,48,TRUE,0.9745463920178699,0,0,1,0,3,8.080609042878333,0.21990946197860678,1.7881496055063058,-0.41222647689796266,-0.5178384580907243,2.1271084765063537,1.7096605849456026,0.727774945970483,0.13183881734305208
E6,CP17,50,HEM,64,2.23483247144908,223.0568755645269,2,121,121,TRUE,1.422012490657993,0,0,1,0,3,8.515234737695451,0.32527337008064827,1.1130289029458225,-0.6883774388271167,-0.7953167533530917,1.2661300807573181,0.7894043124451895,2.385626369063522,0.5236711598002523
E6,CP17,50,HEM,65,1.1540244956315329,119.66488296345067,1,76,76,TRUE,6.961013599624701,0,0,1,0,3,8.024038882158466,-1.622575132780995e-4,-0.0851145965382134,0.330977403296116,0.3794164614286316,-0.05841758620111138,-1.7205651995725366,-0.816454814452644,-0.9566036174808296
E6,CP17,50,HEM,66,-0.2376496724338508,117.89976564841182,1,91,91,TRUE,0.03145020016398856,0,1,0,0,2,9.277367761474762,-0.35311211724174574,-0.20075342654129577,0.4044025458934724,0.509793546818997,-0.21704097860926125,-1.6302625447583121,-0.7593789316754957,-1.7786875412429293
E6,CP17,50,HEM,67,2.5679528363523376,109.9936453925721,2,46,46,TRUE,29.438600896524868,1,0,0,0,1,12.86533919430611,1.0490065693196398,1.0234892990017377,-1.5127241963464308,-1.2440926426246475,0.845186037482759,0.861348582324124,0.7442795891196314,0.8478622626617931
E6,CP17,50,HEM,68,1.8379406192079584,203.6437047442513,2,92,92,TRUE,3.0450759339049256,0,0,1,0,3,15.666201435427412,0.7938003752312668,1.6661448300221624,-0.19780320258458486,-0.1382015707380529,1.5364902714696447,0.7081461632501721,2.0047725571453072,0.012919914915920495
E6,CP17,50,HEM,69,-0.8940582701700681,68.60839148342667,3,23,23,TRUE,11.599673056721926,0,0,0,1,4,16.365606351558522,1.8824613063160236,-2.496973709187144,2.1131644743574602,1.5713776443548744,-1.7231578270692636,1.0263098348276518,0.17359328433656473,-1.2776223893732344
E6,CP17,50,HEM,75,-2.38610446918703,45.98605689356511,2,31,31,TRUE,3.9875407800648173,1,0,0,0,1,11.651646629188132,-0.07762043027300929,-1.1069168899481567,-0.6736935104516106,-1.013935310750802,-1.4403208039974627,0.8198624782408026,-0.24571813132056114,0.685507369123127
E6,CP17,50,HEM,76,0.7244508519457875,41.02473777180498,1,27,27,TRUE,16.600246064533227,0,1,0,0,2,8.882170216049893,-0.02198842628432824,-0.028982186913347592,0.4517703805669374,0.5429716776716791,0.016865078358856405,-1.4828262175137814,-0.8429478737512505,-1.4553667719896637
E6,CP17,50,HEM,8,-2.24197135562027,82.77951616254705,1,51,51,TRUE,6.411409809193973,0,0,0,1,4,19.883187378285385,0.07407628840894118,-0.23216623629216354,0.24725270238839506,0.2699101565691295,-0.24733589516595775,-1.7657117930661888,-0.8748496708713315,0.5317983017390924
E6,CP17,50,HEM,90,1.9850947392727543,169.73128634795316,1,121,121,TRUE,0.10721671498900312,0,0,1,0,3,8.988423137444812,-0.22402590776190698,-0.10440734977024868,0.263561218709767,0.28442635107626063,-0.07210639708759232,-1.7428178071299345,-0.786135501156056,0.21380032835432936
E6,CP17,50,HEM,91,-0.5120037131924325,51.5352796652567,1,49,49,TRUE,2.570291988180978,0,1,0,0,2,5.719931492387351,-0.6452597579523163,-0.2618796866391429,0.44707282786584096,0.6342627980851782,-0.3451411830873861,-1.3876852499811732,-0.7912617012902281,-1.6335329173716193
E6,CP17,50,HEM,92,0.5648801942042165,145.9820940562444,2,97,97,TRUE,0.07026115289798965,0,1,0,0,2,11.33752368270662,-0.09272777044279669,0.44859284412329453,1.249443400812104,1.6678546064696236,0.6772947713805553,0.43700733095715355,0.9523834371792772,-1.5942296662323143
