Metadata_matrix,Metadata_id,Metadata_condition,Metadata_dose,Track_Sector,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n,n_per_experiment,fraction per sector in %
FN,D1,SP17,50,3,-0.12598818306575366,0.18408951423290315,0.1292204693146176,0.2497965692933538,0.3127135744589951,0.11318521794398562,1.6795978235457065,0.17157515629446315,18,56,0.32142857142857145
FN,D1,SP17,50,4,0.061842287821022475,0.3646330071304152,0.515900537333961,0.5433080457316478,0.6633664363356812,0.2654259280257169,-1.0768187091061374,0.3425931602661746,7,56,0.125
FN,D2,SP17,5,1,0.21589777403482274,0.18555570124413065,0.013950517456386211,0.1910985619164815,-0.7356794856413809,0.14848632140905893,-0.08020837555255683,0.0948747905693601,39,90,0.43333333333333335
FN,D2,SP17,5,2,0.07014361244976913,0.2945636648952771,-0.20028404404664918,0.2238040876977013,2.033523882363217,0.2373012316065153,-0.0380727888352768,0.1848714672987341,10,90,0.1111111111111111
FN,D2,SP17,5,3,0.02595659323005799,0.23773406176635709,-0.06665567064832653,0.21844806409720305,0.6752355252367289,0.14096714717173658,1.2749521600292812,0.17297272150251264,23,90,0.25555555555555554
FN,D2,SP17,5,4,-0.4910815724421949,0.23548744495765309,-0.6169067611650467,0.27606683373666724,0.44350346798435125,0.14106272542701315,-0.7658375568644757,0.1504166758668509,18,90,0.2
FN,D2,SP17,50,1,0.015563794388562677,0.46463871742548285,0.12636556717464606,0.399842152244803,-0.5761880842169282,0.331081820180014,0.2054455532439006,0.2735672801286798,7,25,0.28
FN,D2,SP17,50,2,-0.203976691607385,0.463242192397184,0.03143270876381641,0.4930074641825053,1.8047331239179845,0.34441141514462986,0.18834561277989384,0.26794132720447844,6,25,0.24
FN,D2,SP17,50,3,-0.1108005983832457,0.5607066270789426,-0.03716773691183806,0.270325437611243,0.292259659755747,0.27988525059247327,1.1678811938589813,0.3876490567758693,5,25,0.2
FN,D2,SP17,50,4,0.8651445039549454,0.22316079404829453,0.21279539536179334,0.1727277080778186,1.001716138767615,0.286002434923188,-1.802302590962486,0.1381685965209217,7,25,0.28
FN,D3,SP17,5,1,0.011475709083089867,0.2603155971987212,0.28943857857989086,0.3428623775588724,-0.2721744364182284,0.20576906170386192,-0.5645388302278418,0.23045577667795686,11,37,0.2972972972972973
